"Animal","Year","Population_size_1000s","Red_in_perc","Ym_org_in_perc","Ym_upd_in_perc","DE_org_in_perc","DE_upd_in_perc","GE_org_in_MJ_per_head_per_day","GE_upd_in_MJ_per_head_per_day","Ch4_emission_org_in_kt_CRT","Ch4_emission_org_in_kt","Ch4_emission_upd_in_kt_Ym","CH4_Ym_in_kt_diff","CH4_emis_upd_in_kt_Ym_DE","CH4_Ym_De_in_kt_diff","CH4_Ym_and_Ym_DE_in_kt_diff"
"Dairy cattle",2017,4199.01,10,6.3418618,5.70767562,75.78354061,76.41772679,329.1426178,325.646621550103,574.2819587,574.877746452975,517.389971807678,57.4877746452973,511.894501748942,62.9832447040333,5.49547005873592
"Non-dairy cattle",2017,8082.1840003,10,6.48445014,5.836005126,74.06476312,74.713208134,108.5812163,107.35799123788,373.88172808,373.236653371929,335.912988034736,37.3236653371929,332.128749842742,41.1079035291876,3.78423819199463
"Cattle",2018,11949.0949996,10,6.42188509818323,5.7796965883649,74.6764824157302,75.3186709255485,187.000140560117,184.977763660968,933.75304171,933.678168515586,840.310351664028,93.3678168515586,831.2182265277,102.459941987886,9.09212513632747
"Dairy cattle",2018,4100.863,10,6.29930861,5.669377749,75.87120291,76.501133771,336.2113189,332.670467863503,569.09748058,569.650092622411,512.68508336017,56.9650092622411,507.285677073815,62.3644155485965,5.39940628635543
"Non-dairy cattle",2018,7848.2319996,10,6.48593384,5.837340456,74.05221633,74.700809714,109.0342241,107.805281238814,364.65556113,364.028075893175,327.625268303857,36.4028075893175,323.932549453885,40.0955264392895,3.69271884997204
"Cattle",2019,11639.5320002,10,6.40774015572957,5.76696614015662,74.7076533490263,75.3484273645993,190.554931581132,188.504766481413,923.00345774,923.079102023075,830.771191820768,92.3079102023075,821.827273715824,101.251828307251,8.94391810494335
"Dairy cattle",2019,4011.674,10,6.26008881,5.634079929,75.96102055,76.587029431,343.6576804,340.067466982412,565.3685445,566.056626010264,509.450963409237,56.6056626010264,504.128697128717,61.9279288815467,5.3222662805203
"Non-dairy cattle",2019,7627.8580002,10,6.48539355,5.836854195,74.04847739,74.697016745,110.0345133,108.794296654405,357.63491324,357.022476012811,321.32022841153,35.7022476012811,317.698576587107,39.3238994257042,3.62165182442311
"Cattle",2020,11301.8599999,10,6.39681190877066,5.75713071789359,74.7303587511115,75.3700399419886,193.744329767434,191.669013769543,908.06786401,908.232092823972,817.408883541575,90.8232092823971,808.64595624661,99.5861365773618,8.7629272949647
"Dairy cattle",2020,3921.41,10,6.22641088,5.603769792,76.04631122,76.668952308,349.6069577,345.980513844116,559.11152969,559.870766175122,503.88368955761,55.9870766175121,498.656946010805,61.2138201643165,5.22674354680436
